anio,flujo,grano,socio_cod,cap_cod,valor_usd
2010,Exportacion,socio,4,,423049.0
2010,Exportacion,socio,20,,109833.0
2010,Exportacion,socio,24,,30509.0
2010,Exportacion,socio,28,,1530473.0
2010,Exportacion,socio,36,,33107660.0
2010,Exportacion,socio,40,,367263.0
2010,Exportacion,socio,32,,10507757.0
2010,Exportacion,socio,44,,11081190.0
2010,Exportacion,socio,50,,51424.0
2010,Exportacion,socio,52,,15375240.0
2010,Exportacion,socio,56,,311988802.0
2010,Exportacion,socio,60,,2513102.0
2010,Exportacion,socio,68,,1689438.0
2010,Exportacion,socio,76,,39654064.0
2010,Exportacion,socio,84,,7107904.0
2010,Exportacion,socio,92,,52604.0
2010,Exportacion,socio,100,,776284.0
2010,Exportacion,socio,104,,239776.0
2010,Exportacion,socio,112,,5153.0
2010,Exportacion,socio,116,,353909.0
2010,Exportacion,socio,120,,4538182.0
2010,Exportacion,socio,124,,95231364.0
2010,Exportacion,socio,136,,1331953.0
2010,Exportacion,socio,144,,453411.0
2010,Exportacion,socio,152,,37287011.0
2010,Exportacion,socio,156,,268829122.0
2010,Exportacion,socio,180,,50574.0
2010,Exportacion,socio,191,,7108.0
2010,Exportacion,socio,170,,52467275.0
2010,Exportacion,socio,178,,19003.0
2010,Exportacion,socio,192,,19998422.0
2010,Exportacion,socio,196,,31007.0
2010,Exportacion,socio,203,,37631.0
2010,Exportacion,socio,204,,46771.0
2010,Exportacion,socio,208,,1305685.0
2010,Exportacion,socio,212,,464357.0
2010,Exportacion,socio,214,,241251601.0
2010,Exportacion,socio,218,,32149038.0
2010,Exportacion,socio,222,,269222229.0
2010,Exportacion,socio,231,,40972.0
2010,Exportacion,socio,233,,559271.0
2010,Exportacion,socio,242,,369.0
2010,Exportacion,socio,246,,903359.0
2010,Exportacion,socio,251,,94630629.0
2010,Exportacion,socio,266,,19554.0
2010,Exportacion,socio,268,,9750.0
2010,Exportacion,socio,258,,143050.0
2010,Exportacion,socio,288,,356038.0
2010,Exportacion,socio,300,,3356067.0
2010,Exportacion,socio,308,,614154.0
2010,Exportacion,socio,316,,23010.0
2010,Exportacion,socio,276,,138572955.0
2010,Exportacion,socio,320,,361679360.0
2010,Exportacion,socio,328,,3227827.0
2010,Exportacion,socio,332,,11404621.0
2010,Exportacion,socio,334,,18848.0
2010,Exportacion,socio,340,,292187036.0
2010,Exportacion,socio,344,,438037411.0
2010,Exportacion,socio,348,,1402758.0
2010,Exportacion,socio,352,,62306.0
2010,Exportacion,socio,360,,3023919.0
2010,Exportacion,socio,364,,2271328.0
2010,Exportacion,socio,368,,56671.0
2010,Exportacion,socio,372,,21165647.0
2010,Exportacion,socio,376,,7547686.0
2010,Exportacion,socio,380,,138190311.0
2010,Exportacion,socio,384,,379152.0
2010,Exportacion,socio,400,,92187.0
2010,Exportacion,socio,388,,54148095.0
2010,Exportacion,socio,392,,84764343.0
2010,Exportacion,socio,404,,6890.0
2010,Exportacion,socio,408,,39342.0
2010,Exportacion,socio,410,,40142601.0
2010,Exportacion,socio,414,,18638.0
2010,Exportacion,socio,422,,374321.0
2010,Exportacion,socio,428,,29733.0
2010,Exportacion,socio,434,,3904834.0
2010,Exportacion,socio,440,,16143.0
2010,Exportacion,socio,458,,168696527.0
2010,Exportacion,socio,466,,765.0
2010,Exportacion,socio,470,,80413.0
2010,Exportacion,socio,442,,62492.0
2010,Exportacion,socio,446,,54175.0
2010,Exportacion,socio,484,,254431438.0
2010,Exportacion,socio,490,,71604484.0
2010,Exportacion,socio,496,,173450.0
2010,Exportacion,socio,508,,637337.0
2010,Exportacion,socio,512,,186965.0
2010,Exportacion,socio,504,,2526548.0
2010,Exportacion,socio,530,,11576812.0
2010,Exportacion,socio,528,,633714209.0
2010,Exportacion,socio,533,,3934923.0
2010,Exportacion,socio,540,,57736.0
2010,Exportacion,socio,554,,1744383.0
2010,Exportacion,socio,558,,378899543.0
2010,Exportacion,socio,566,,5577.0
2010,Exportacion,socio,579,,258992.0
2010,Exportacion,socio,586,,85122.0
2010,Exportacion,socio,591,,430186029.0
2010,Exportacion,socio,598,,77322.0
2010,Exportacion,socio,600,,188386.0
2010,Exportacion,socio,604,,12414429.0
2010,Exportacion,socio,616,,837736.0
2010,Exportacion,socio,620,,31690088.0
2010,Exportacion,socio,634,,80115.0
2010,Exportacion,socio,642,,916248.0
2010,Exportacion,socio,608,,4477849.0
2010,Exportacion,socio,643,,26996510.0
2010,Exportacion,socio,659,,350292.0
2010,Exportacion,socio,660,,8904.0
2010,Exportacion,socio,662,,1606975.0
2010,Exportacion,socio,670,,352196.0
2010,Exportacion,socio,682,,11229083.0
2010,Exportacion,socio,686,,104000.0
2010,Exportacion,socio,694,,20164.0
2010,Exportacion,socio,699,,21735043.0
2010,Exportacion,socio,646,,150.0
2010,Exportacion,socio,654,,51396.0
2010,Exportacion,socio,702,,41787633.0
2010,Exportacion,socio,703,,134642.0
2010,Exportacion,socio,704,,15695361.0
2010,Exportacion,socio,705,,85736.0
2010,Exportacion,socio,710,,1620216.0
2010,Exportacion,socio,724,,49883049.0
2010,Exportacion,socio,740,,5325598.0
2010,Exportacion,socio,752,,29059002.0
2010,Exportacion,socio,757,,7749343.0
2010,Exportacion,socio,760,,382308.0
2010,Exportacion,socio,764,,4267641.0
2010,Exportacion,socio,768,,73004.0
2010,Exportacion,socio,780,,46908559.0
2010,Exportacion,socio,784,,6661576.0
2010,Exportacion,socio,788,,1590647.0
2010,Exportacion,socio,792,,19970164.0
2010,Exportacion,socio,796,,40.0
2010,Exportacion,socio,800,,3578.0
2010,Exportacion,socio,804,,51848.0
2010,Exportacion,socio,818,,684532.0
2010,Exportacion,socio,826,,160391916.0
2010,Exportacion,socio,834,,235968.0
2010,Exportacion,socio,842,,3384678655.0
2010,Exportacion,socio,858,,876702.0
2010,Exportacion,socio,860,,2779.0
2010,Exportacion,socio,862,,26700536.0
2010,Exportacion,socio,882,,4.0
2010,Exportacion,socio,887,,857663.0
2010,Exportacion,socio,894,,25940.0
2010,Exportacion,socio,899,,1972866.0
2010,Importacion,socio,4,,39644.0
2010,Importacion,socio,8,,24581.0
2010,Importacion,socio,10,,117.0
2010,Importacion,socio,12,,66189989.0
2010,Importacion,socio,16,,11088.0
2010,Importacion,socio,20,,202116.0
2010,Importacion,socio,24,,968.0
2010,Importacion,socio,28,,89545.0
2010,Importacion,socio,32,,76525484.0
2010,Importacion,socio,36,,12471448.0
2010,Importacion,socio,40,,33095248.0
2010,Importacion,socio,44,,5799838.0
2010,Importacion,socio,48,,8814.0
2010,Importacion,socio,50,,2476740.0
