anio,flujo,cap_cod,capitulo,valor_usd
2010,Exportacion,79,Zinc and articles thereof,720179.0
2010,Exportacion,80,Tin; articles thereof,10900.0
2010,Exportacion,81,"Metals; n.e.c., cermets and articles thereof",876855.0
2010,Exportacion,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1792829.0
2010,Exportacion,83,Metal; miscellaneous products of base metal,20488057.0
2010,Exportacion,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",956042117.0
2010,Exportacion,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1424171054.0
2010,Exportacion,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",1557558.0
2010,Exportacion,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",43175599.0
2010,Exportacion,88,"Aircraft, spacecraft, and parts thereof",1964354.0
2010,Exportacion,89,"Ships, boats and floating structures",1243114.0
2010,Exportacion,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1101881121.0
2010,Exportacion,91,Clocks and watches and parts thereof,142434.0
2010,Exportacion,92,Musical instruments; parts and accessories of such articles,137192.0
2010,Exportacion,93,Arms and ammunition; parts and accessories thereof,630.0
2010,Exportacion,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",74674937.0
2010,Exportacion,95,"Toys, games and sports requisites; parts and accessories thereof",16935050.0
2010,Exportacion,97,Works of art; collectors' pieces and antiques,644201.0
2010,Exportacion,99,Commodities not specified according to kind,59663.0
2010,Exportacion,96,Miscellaneous manufactured articles,13845966.0
2010,Importacion,08,"Fruit and nuts, edible; peel of citrus fruit or melons",64587408.0
2010,Importacion,07,Vegetables and certain roots and tubers; edible,56167412.0
2010,Importacion,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",12590255.0
2010,Importacion,05,Animal originated products; not elsewhere specified or included,1931915.0
2010,Importacion,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",26446911.0
2010,Importacion,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",35536406.0
2010,Importacion,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",40618609.0
2010,Importacion,10,Cereals,254530183.0
2010,Importacion,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",136399782.0
2010,Importacion,09,"Coffee, tea, mate and spices",22411260.0
2010,Importacion,13,"Lac; gums, resins and other vegetable saps and extracts",5304793.0
2010,Importacion,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,419333.0
2010,Importacion,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",40352906.0
2010,Importacion,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",18073634.0
2010,Importacion,17,Sugars and sugar confectionery,29182348.0
2010,Importacion,18,Cocoa and cocoa preparations,24211349.0
2010,Importacion,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",93917803.0
2010,Importacion,20,"Preparations of vegetables, fruit, nuts or other parts of plants",100846536.0
2010,Importacion,02,Meat and edible meat offal,34449291.0
2010,Importacion,01,Animals; live,4292111.0
2010,Importacion,22,"Beverages, spirits and vinegar",59509874.0
2010,Importacion,23,"Food industries, residues and wastes thereof; prepared animal fodder",74144472.0
2010,Importacion,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",17590367.0
2010,Importacion,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",24337160.0
2010,Importacion,26,"Ores, slag and ash",43711.0
2010,Importacion,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1708827727.0
2010,Importacion,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",80337760.0
